policy_name,policy_checkpoint,task_name,episode_dir,run_number,instruction,success,step_score,max_step_score,recall_score,max_recall_score,timesteps,max_timesteps,duration,timestamp,comments,data_files
groot,,BananaIntoBowl,BananaIntoBowl_episode0,0,Put the banana on the plate,False,0,5,0,5,900,900,51.17664694786072,2026_06_23_10_46_31,"Agressivly slammed into the banana, without ever positioning above it",scene_camera_rollout_0.mp4;wrist_camera_rollout_0.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,1,Set the banana on the plate,True,5,5,5,5,900,900,51.16266942024231,2026_06_23_10_47_54,Placed the banana suhc that it was half outside the bowl and still in contact with the table,scene_camera_rollout_1.mp4;wrist_camera_rollout_1.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,2,Place the banana on the plate,True,5,5,5,5,233,900,14.07946252822876,2026_06_23_10_49_21,,scene_camera_rollout_2.mp4;wrist_camera_rollout_2.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,3,Put the yellow banana on the white plate,False,3,5,3,5,900,900,50.49673533439636,2026_06_23_10_51_35,,scene_camera_rollout_3.mp4;wrist_camera_rollout_3.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,4,Move the banana onto the plate,False,3,5,3,5,900,900,41.659714460372925,2026_06_23_11_02_48,failed to position above the plate and droped banana next to it,scene_camera_rollout_4.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,5,Put the banana on the plate,True,5,5,5,5,225,900,11.256224393844604,2026_06_23_10_55_50,,scene_camera_rollout_5.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,6,Set the banana on the plate,False,3,5,3,5,900,900,41.802040815353394,2026_06_23_10_57_00,Didn't raise banana high enough to clear the bowl,scene_camera_rollout_6.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,7,Place the banana on the plate,False,3,5,3,5,900,900,41.85113215446472,2026_06_23_10_58_39,,scene_camera_rollout_7.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,8,Put the yellow banana on the white plate,True,5,5,5,5,239,900,11.558461427688599,2026_06_23_10_59_48,,scene_camera_rollout_8.mp4
groot,,BananaIntoBowl,BananaIntoBowl_episode0,9,Move the banana onto the plate,False,0,5,0,5,900,900,41.9898579120636,2026_06_23_11_00_30,Failed to position above the banana,scene_camera_rollout_9.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,0,"There is banana underneath the cloth. Pick up the cloth and drop it aside, then pick and place the banana into the dish plate",False,2,10,4,10,1200,1200,57.54427194595337,2026_06_23_16_16_14,not a mistake. Robot draged cloth off of banana without ever lifting.,scene_camera_rollout_0.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,1,"Banana is hidden below the cloth. Lift up the cloth and place it aside, then pick up the banana and place it into the dish plate",False,2,10,2,10,1200,1200,55.651642084121704,2026_06_23_16_19_20,,scene_camera_rollout_1.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,2,"There is a banana placed below the cloth. First lift up the cloth and place it to the left side, then pick up the banana and place it into the dish plate",False,2,10,2,10,1200,1200,54.98949456214905,2026_06_23_16_20_47,,scene_camera_rollout_2.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,3,"There is banana hidden underneath the cloth. Pick up the cloth and place it to the side, then pick and place the banana into the dish plate",False,2,10,2,10,1200,1200,56.15448784828186,2026_06_23_16_22_07,,scene_camera_rollout_3.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,4,"Pick and place the banana into the dish plate by first lifting the cloth and placing it aside, as the banana is placed under the cloth",False,5,10,5,10,1200,1200,55.36993050575256,2026_06_23_16_23_44,,scene_camera_rollout_4.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,5,"There is banana underneath the cloth. Pick up the cloth and drop it aside, then pick and place the banana into the dish plate",False,1,10,1,10,1200,1200,55.19132709503174,2026_06_23_16_25_21,,scene_camera_rollout_5.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,6,"Banana is hidden below the cloth. Lift up the cloth and place it aside, then pick up the banana and place it into the dish plate",False,2,10,2,10,1200,1200,55.21552491188049,2026_06_23_16_27_02,,scene_camera_rollout_6.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,7,"There is a banana placed below the cloth. First lift up the cloth and place it to the left side, then pick up the banana and place it into the dish plate",False,2,10,2,10,1200,1200,55.996147871017456,2026_06_23_16_29_03,,scene_camera_rollout_7.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,8,"There is banana hidden underneath the cloth. Pick up the cloth and place it to the side, then pick and place the banana into the dish plate",False,2,10,2,10,1200,1200,55.94440150260925,2026_06_23_16_31_16,,scene_camera_rollout_8.mp4
groot,,BananaUnderCloth,BananaUnderCloth_episode0,9,"Pick and place the banana into the dish plate by first lifting the cloth and placing it aside, as the banana is placed under the cloth",False,2,10,2,10,1200,1200,55.7576584815979,2026_06_23_16_32_50,,scene_camera_rollout_9.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,0,Put the baseball into the bucket,False,0,5,0,5,900,900,42.25580811500549,2026_06_23_11_17_00,,scene_camera_rollout_0.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,1,Set the baseball into the bucket,False,0,5,0,5,900,900,42.27079963684082,2026_06_23_11_18_16,,scene_camera_rollout_1.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,2,Place the baseball into the bucket,False,1,5,1,5,662,900,31.26284956932068,2026_06_23_11_19_31,ball fell off table,scene_camera_rollout_2.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,3,Put the white baseball into the grey bucket,False,1,5,1,5,900,900,42.47391152381897,2026_06_23_11_22_13,,scene_camera_rollout_3.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,4,Move the baseball into the bucket,False,0,5,0,5,337,900,16.124404191970825,2026_06_23_11_23_13,ball fell off table,scene_camera_rollout_4.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,5,Put the baseball into the bucket,False,1,5,1,5,345,900,16.681496143341064,2026_06_23_11_23_59,,scene_camera_rollout_5.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,6,Set the baseball into the bucket,False,0,5,0,5,900,900,41.83330988883972,2026_06_23_11_24_36,,scene_camera_rollout_6.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,7,Place the baseball into the bucket,False,0,5,0,5,900,900,42.37267541885376,2026_06_23_11_25_36,,scene_camera_rollout_7.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,8,Put the white baseball into the grey bucket,False,1,5,1,5,165,900,8.237968444824219,2026_06_23_11_27_00,,scene_camera_rollout_8.mp4
groot,,BaseballIntoBucket,BaseballIntoBucket_episode0,9,Move the baseball into the bucket,False,1,5,1,5,900,900,42.347365617752075,2026_06_23_11_27_38,,scene_camera_rollout_9.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,0,Put the block into the basket,False,1,5,1,5,900,900,41.94367837905884,2026_06_23_11_04_07,,scene_camera_rollout_0.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,1,Set the block into the basket,False,1,5,1,5,900,900,42.1900680065155,2026_06_23_11_06_01,,scene_camera_rollout_1.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,2,Place the block into the basket,False,3,5,3,5,900,900,41.48883366584778,2026_06_23_11_07_02,,scene_camera_rollout_2.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,3,Put the blue block into the orange basket,False,0,5,0,5,900,900,41.662888050079346,2026_06_23_11_07_58,,scene_camera_rollout_3.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,4,Move the block into the basket,False,0,5,0,5,900,900,41.570096254348755,2026_06_23_11_08_53,,scene_camera_rollout_4.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,5,Put the block into the basket,False,0,5,0,5,900,900,42.34746861457825,2026_06_23_11_09_52,,scene_camera_rollout_5.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,6,Set the block into the basket,False,1,5,1,5,900,900,41.9709529876709,2026_06_23_11_10_51,,scene_camera_rollout_6.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,7,Place the block into the basket,False,3,5,3,5,900,900,41.9217791557312,2026_06_23_11_11_48,,scene_camera_rollout_7.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,8,Put the blue block into the orange basket,False,1,5,1,5,900,900,42.210196018218994,2026_06_23_11_12_57,,scene_camera_rollout_8.mp4
groot,,BlockIntoBasket,BlockIntoBasket_episode0,9,Move the block into the basket,False,0,5,0,5,900,900,42.29333734512329,2026_06_23_11_13_52,,scene_camera_rollout_9.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,0,Prepare the bowl with red apple and bread,False,0,10,0,10,1200,1200,55.765851736068726,2026_06_23_11_30_26,eratic movement,scene_camera_rollout_0.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,1,Pick the bread and red apple and place it into the bowl,False,0,10,0,10,1200,1200,54.776615142822266,2026_06_23_11_31_40,seeming went for watermellon,scene_camera_rollout_1.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,2,Pick and place the red apple and bread into the dish bowl,False,1,10,1,10,1200,1200,56.53813409805298,2026_06_23_11_32_56,,scene_camera_rollout_2.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,3,Put the bread and red apple into the bowl,False,1,10,1,10,1200,1200,55.26949214935303,2026_06_23_11_34_32,very interested in the plate,scene_camera_rollout_3.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,4,Move the red apple and bread into the dish bowl,False,1,10,1,10,1200,1200,55.970542430877686,2026_06_23_11_35_49,crazy arm,scene_camera_rollout_4.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,5,Prepare the bowl with red apple and bread,False,0,10,0,10,1200,1200,56.28742742538452,2026_06_23_11_37_34,,scene_camera_rollout_5.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,6,Pick the bread and red apple and place it into the bowl,False,1,10,1,10,1200,1200,56.11065483093262,2026_06_23_14_12_38,,scene_camera_rollout_6.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,7,Pick and place the red apple and bread into the dish bowl,False,0,10,0,10,1200,1200,54.85085582733154,2026_06_23_14_14_51,,scene_camera_rollout_7.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,8,Put the bread and red apple into the bowl,False,1,10,1,10,1200,1200,55.45263314247131,2026_06_23_14_16_21,,scene_camera_rollout_8.mp4
groot,,BreadAndAppleIntoBowl,BreadAndAppleIntoBowl_episode0,9,Move the red apple and bread into the dish bowl,False,0,10,0,10,1200,1200,54.75061750411987,2026_06_23_14_17_35,,scene_camera_rollout_9.mp4
groot,,BreadFromBox,BreadFromBox_episode0,0,Remove the bread from the box,False,0,5,0,5,900,900,42.364707469940186,2026_06_23_16_38_47,,scene_camera_rollout_0.mp4
groot,,BreadFromBox,BreadFromBox_episode0,1,Take the bread out of the box,False,1,5,1,5,900,900,41.374486684799194,2026_06_23_16_43_28,,scene_camera_rollout_1.mp4
groot,,BreadFromBox,BreadFromBox_episode0,2,Pick up the bread and place it outside the box,False,0,5,0,5,900,900,42.281779050827026,2026_06_23_16_44_53,,scene_camera_rollout_2.mp4
groot,,BreadFromBox,BreadFromBox_episode0,3,Grasp the bread and set it beside the box,False,0,5,0,5,900,900,41.97942543029785,2026_06_23_16_47_31,,scene_camera_rollout_3.mp4
groot,,BreadFromBox,BreadFromBox_episode0,4,Retrieve the bread from inside the box and move it away from the box,False,2,5,2,5,900,900,41.36311626434326,2026_06_23_16_49_03,,scene_camera_rollout_4.mp4
groot,,BreadFromBox,BreadFromBox_episode0,5,Remove the bread from the box,False,0,5,0,5,900,900,42.27383279800415,2026_06_23_16_50_21,,scene_camera_rollout_5.mp4
groot,,BreadFromBox,BreadFromBox_episode0,6,Take the bread out of the box,False,0,5,0,5,608,900,28.828320026397705,2026_06_23_16_52_08,GOAL,scene_camera_rollout_6.mp4
groot,,BreadFromBox,BreadFromBox_episode0,7,Pick up the bread and place it outside the box,False,0,5,0,5,619,900,29.537416219711304,2026_06_23_17_00_26,,scene_camera_rollout_7.mp4
groot,,BreadFromBox,BreadFromBox_episode0,8,Grasp the bread and set it beside the box,False,0,5,0,5,900,900,42.16613531112671,2026_06_23_16_55_52,launch a lemon,scene_camera_rollout_8.mp4
groot,,BreadFromBox,BreadFromBox_episode0,9,Retrieve the bread from inside the box and move it away from the box,False,0,5,0,5,900,900,42.52115035057068,2026_06_23_16_58_36,,scene_camera_rollout_9.mp4
groot,,ClothFold,ClothFold_episode0,0,Grasp the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,353,900,17.38603925704956,2026_06_23_14_47_57,,scene_camera_rollout_0.mp4
groot,,ClothFold,ClothFold_episode0,1,Pick the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,42.81920337677002,2026_06_23_14_49_07,,scene_camera_rollout_1.mp4
groot,,ClothFold,ClothFold_episode0,2,Grab the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,41.884591579437256,2026_06_23_14_50_29,,scene_camera_rollout_2.mp4
groot,,ClothFold,ClothFold_episode0,3,Grip the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,41.408864974975586,2026_06_23_14_51_41,,scene_camera_rollout_3.mp4
groot,,ClothFold,ClothFold_episode0,4,Hold the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,353,900,16.909005880355835,2026_06_23_14_52_48,,scene_camera_rollout_4.mp4
groot,,ClothFold,ClothFold_episode0,5,Grasp the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,41.976425886154175,2026_06_23_14_53_40,,scene_camera_rollout_5.mp4
groot,,ClothFold,ClothFold_episode0,6,Pick the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,41.94726848602295,2026_06_23_14_55_28,,scene_camera_rollout_6.mp4
groot,,ClothFold,ClothFold_episode0,7,Grab the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,441,900,20.433116912841797,2026_06_23_14_57_09,,scene_camera_rollout_7.mp4
groot,,ClothFold,ClothFold_episode0,8,Grip the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,42.956263303756714,2026_06_23_14_58_03,,scene_camera_rollout_8.mp4
groot,,ClothFold,ClothFold_episode0,9,Hold the bottom corner of the cloth and fold it in half into a triangular shape,False,0,5,0,5,900,900,42.30876064300537,2026_06_23_14_59_28,,scene_camera_rollout_9.mp4
groot,,DrawerClose,DrawerClose_episode0,0,Close the cabinet drawer,False,0,3,0,3,225,900,11.430204153060913,2026_06_23_17_04_37,,scene_camera_rollout_0.mp4
groot,,DrawerClose,DrawerClose_episode0,1,Close the cabinet drawer by pushing it,False,0,3,0,3,900,900,41.9186487197876,2026_06_23_14_25_14,,scene_camera_rollout_1.mp4
groot,,DrawerClose,DrawerClose_episode0,2,Shut the top drawer from the cabinet,False,0,3,0,3,900,900,42.02861022949219,2026_06_23_14_27_06,,scene_camera_rollout_2.mp4
groot,,DrawerClose,DrawerClose_episode0,3,Push to close the drawer from the cabinet,False,0,3,0,3,900,900,42.13185954093933,2026_06_23_14_28_52,,scene_camera_rollout_3.mp4
groot,,DrawerClose,DrawerClose_episode0,4,Close the open drawer from the cabinet,False,0,3,0,3,560,900,26.069023847579956,2026_06_23_14_30_37,,scene_camera_rollout_4.mp4
groot,,DrawerClose,DrawerClose_episode0,5,Close the cabinet drawer,False,0,3,0,3,900,900,43.20805096626282,2026_06_23_14_35_17,,scene_camera_rollout_5.mp4
groot,,DrawerClose,DrawerClose_episode0,6,Close the cabinet drawer by pushing it,False,0,3,0,3,361,900,17.408328771591187,2026_06_23_14_38_52,,scene_camera_rollout_6.mp4
groot,,DrawerClose,DrawerClose_episode0,7,Shut the top drawer from the cabinet,False,0,3,0,3,900,900,43.05837965011597,2026_06_23_14_40_02,,scene_camera_rollout_7.mp4
groot,,DrawerClose,DrawerClose_episode0,8,Push to close the drawer from the cabinet,False,0,3,0,3,224,900,10.614896774291992,2026_06_23_14_42_17,,scene_camera_rollout_8.mp4
groot,,DrawerClose,DrawerClose_episode0,9,Close the open drawer from the cabinet,False,0,3,0,3,585,900,27.506620407104492,2026_06_23_14_43_21,,scene_camera_rollout_9.mp4
